area_pixels, centroid_x, centroid_y, centroid_x_roi, centroid_y_roi, mean_coords_x, mean_coords_y, lado_px, image_width, image_height, mean_intensity, std_intensity, threshold, class
136.0,28.699,11.794,123.699,110.794,28.699,11.794,50,240,248,0.366,0.208,0.782,0
127.0,30.354,26.992,125.354,125.992,30.579,24.17,50,240,248,0.388,0.232,0.853,0
155.0,27.587,24.477,122.587,123.477,27.577,24.391,50,240,248,0.374,0.22,0.815,0
103.0,30.709,27.699,125.709,126.699,30.762,27.495,50,240,248,0.396,0.234,0.864,0
175.0,28.171,24.406,123.171,123.406,28.171,24.406,50,240,248,0.374,0.224,0.821,0
11.0,26.636,13.091,121.636,112.091,33.347,17.081,50,240,248,0.394,0.236,0.867,0
167.0,31.725,26.204,126.725,125.204,31.725,26.204,50,240,248,0.376,0.227,0.83,0
152.0,29.105,24.77,124.105,123.77,29.105,24.77,50,240,248,0.367,0.215,0.798,0
177.0,31.158,21.379,126.158,120.379,31.158,21.379,50,240,248,0.382,0.229,0.841,0
189.0,30.815,20.328,125.815,119.328,30.815,20.328,50,240,248,0.386,0.233,0.853,0
183.0,32.142,22.902,127.142,121.902,32.142,22.902,50,240,248,0.39,0.238,0.867,0
179.0,27.112,23.832,122.112,122.832,27.112,23.832,50,240,248,0.387,0.231,0.848,0
83.0,20.349,10.542,115.349,109.542,20.406,19.079,50,240,248,0.378,0.222,0.822,0
140.0,33.486,16.271,128.486,115.271,32.987,17.325,50,240,248,0.393,0.238,0.869,0
101.0,20.891,11.634,115.891,110.634,21.052,18.329,50,240,248,0.378,0.222,0.822,0
98.0,21.02,26.531,116.02,125.531,21.366,19.29,50,240,248,0.382,0.227,0.836,0
171.0,25.825,24.509,120.825,123.509,25.825,24.509,50,240,248,0.383,0.228,0.84,0
163.0,17.086,21.724,112.086,120.724,17.086,21.724,50,240,248,0.38,0.222,0.824,0
195.0,30.513,22.682,125.513,121.682,30.513,22.682,50,240,248,0.386,0.235,0.856,0
180.0,18.256,22.3,113.256,121.3,18.256,22.3,50,240,248,0.391,0.235,0.86,0
197.0,21.711,19.096,116.711,118.096,21.711,19.096,50,240,248,0.384,0.229,0.842,0
129.0,23.473,25.62,118.473,124.62,23.473,25.62,50,240,248,0.358,0.199,0.755,0
180.0,25.45,24.117,120.45,123.117,25.45,24.117,50,240,248,0.386,0.233,0.853,0
108.0,19.528,24.806,114.528,123.806,20.125,18.995,50,240,248,0.385,0.229,0.844,0
128.0,27.188,12.148,122.188,111.148,27.191,12.427,50,240,248,0.376,0.216,0.808,0
201.0,20.836,20.373,115.836,119.373,20.836,20.373,50,240,248,0.386,0.233,0.852,0
129.0,27.395,11.938,122.395,110.938,27.368,12.632,50,240,248,0.381,0.221,0.823,0
141.0,25.83,13.206,120.83,112.206,25.83,13.206,50,240,248,0.374,0.215,0.804,0
152.0,23.112,26.211,118.112,125.211,23.112,26.211,50,240,248,0.368,0.215,0.798,0
153.0,22.464,14.771,117.464,113.771,22.464,14.771,50,240,248,0.383,0.222,0.828,0
95.0,40.926,11.547,135.926,110.547,41.324,16.728,50,240,248,0.395,0.234,0.863,0
163.0,21.227,15.755,116.227,114.755,21.169,15.867,50,240,248,0.391,0.235,0.86,0
186.0,20.812,20.645,115.812,119.645,20.812,20.645,50,240,248,0.379,0.229,0.837,0
195.0,20.077,19.221,115.077,118.221,20.077,19.221,50,240,248,0.396,0.238,0.872,0
112.0,25.589,11.277,120.589,110.277,25.135,14.617,50,240,248,0.381,0.215,0.811,0
166.0,26.054,15.331,121.054,114.331,26.054,15.331,50,240,248,0.384,0.224,0.833,0
163.0,26.086,16.613,121.086,115.613,26.086,16.613,50,240,248,0.383,0.226,0.836,0
153.0,25.229,22.837,120.229,121.837,25.229,22.837,50,240,248,0.374,0.22,0.813,0
145.0,18.503,26.386,113.503,125.386,18.503,26.386,50,240,248,0.378,0.221,0.821,0
133.0,33.977,27.579,128.977,126.579,33.977,27.579,50,240,248,0.383,0.222,0.828,0
116.0,35.56,26.422,130.56,125.422,35.56,26.422,50,240,248,0.38,0.219,0.819,0
