area_pixels, centroid_x, centroid_y, centroid_x_roi, centroid_y_roi, mean_coords_x, mean_coords_y, lado_px, image_width, image_height, mean_intensity, std_intensity, threshold, class
226.0,46.575,49.615,101.575,103.615,46.575,49.615,100,210,208,0.036,0.063,0.161,0
218.0,50.298,50.771,105.298,104.771,50.298,50.771,100,210,208,0.035,0.062,0.16,0
211.0,54.749,49.578,109.749,103.578,54.749,49.578,100,210,208,0.033,0.06,0.153,0
215.0,52.414,49.805,107.414,103.805,52.414,49.805,100,210,208,0.034,0.06,0.155,0
1.0,48.0,45.0,103.0,99.0,56.017,52.116,100,210,208,0.032,0.055,0.142,0
179.0,50.927,53.581,105.927,107.581,50.923,53.453,100,210,208,0.034,0.06,0.155,0
203.0,49.98,51.187,104.98,105.187,49.98,51.187,100,210,208,0.034,0.057,0.148,0
189.0,53.386,51.989,108.386,105.989,53.386,51.989,100,210,208,0.034,0.059,0.151,0
292.0,53.62,45.836,108.62,99.836,53.62,45.836,100,210,208,0.036,0.066,0.169,0
275.0,52.465,40.178,107.465,94.178,52.465,40.178,100,210,208,0.038,0.072,0.182,0
311.0,52.26,42.077,107.26,96.077,52.26,42.077,100,210,208,0.038,0.071,0.181,0
81.0,47.963,54.432,102.963,108.432,49.884,42.518,100,210,208,0.036,0.063,0.162,0
80.0,45.737,53.875,100.737,107.875,48.145,40.884,100,210,208,0.037,0.066,0.169,0
204.0,48.725,35.681,103.725,89.681,48.462,40.872,100,210,208,0.039,0.074,0.188,0
285.0,52.011,42.509,107.011,96.509,52.011,42.509,100,210,208,0.038,0.071,0.179,0
205.0,53.605,37.166,108.605,91.166,53.605,37.166,100,210,208,0.035,0.067,0.17,0
193.0,54.813,36.777,109.813,90.777,54.813,36.777,100,210,208,0.035,0.066,0.168,0
201.0,52.428,36.781,107.428,90.781,52.428,36.781,100,210,208,0.035,0.067,0.17,0
254.0,51.894,41.496,106.894,95.496,51.894,41.496,100,210,208,0.036,0.067,0.171,0
365.0,57.589,46.995,112.589,100.995,57.589,46.995,100,210,208,0.036,0.065,0.165,0
2.0,18.5,57.0,73.5,111.0,61.014,49.503,100,210,208,0.032,0.052,0.136,0
1.0,18.0,57.0,73.0,111.0,64.541,49.651,100,210,208,0.029,0.045,0.12,0
1.0,18.0,57.0,73.0,111.0,63.785,48.111,100,210,208,0.031,0.049,0.128,0
1.0,48.0,45.0,103.0,99.0,60.393,48.736,100,210,208,0.032,0.053,0.138,0
1.0,44.0,47.0,99.0,101.0,58.488,47.804,100,210,208,0.033,0.058,0.149,0
313.0,54.62,47.003,109.62,101.003,54.62,47.003,100,210,208,0.036,0.066,0.169,0
352.0,56.071,43.395,111.071,97.395,56.071,43.395,100,210,208,0.036,0.064,0.164,0
2.0,45.0,47.5,100.0,101.5,58.68,45.459,100,210,208,0.033,0.058,0.149,0
1.0,48.0,45.0,103.0,99.0,58.012,45.082,100,210,208,0.033,0.056,0.145,0
245.0,57.257,45.384,112.257,99.384,58.331,46.051,100,210,208,0.033,0.056,0.144,0
253.0,56.692,44.85,111.692,98.85,56.692,44.85,100,210,208,0.033,0.057,0.147,0
324.0,55.182,44.941,110.182,98.941,55.182,44.941,100,210,208,0.037,0.068,0.172,0
291.0,47.309,46.416,102.309,100.416,47.309,46.416,100,210,208,0.037,0.063,0.163,0
290.0,46.924,45.224,101.924,99.224,47.061,45.276,100,210,208,0.037,0.064,0.164,0
266.0,45.297,40.274,100.297,94.274,45.297,40.274,100,210,208,0.037,0.066,0.169,0
204.0,46.559,35.52,101.559,89.52,46.559,35.52,100,210,208,0.037,0.07,0.177,0
315.0,48.505,43.305,103.505,97.305,48.491,43.335,100,210,208,0.038,0.065,0.167,0
94.0,42.234,38.755,97.234,92.755,49.361,46.477,100,210,208,0.036,0.06,0.156,0
288.0,49.983,44.566,104.983,98.566,49.983,44.566,100,210,208,0.037,0.064,0.165,0
254.0,51.965,40.736,106.965,94.736,51.965,40.736,100,210,208,0.037,0.068,0.174,0
215.0,52.088,36.637,107.088,90.637,52.088,36.637,100,210,208,0.036,0.07,0.176,0
206.0,51.073,36.136,106.073,90.136,51.073,36.136,100,210,208,0.037,0.071,0.18,0
215.0,50.972,36.223,105.972,90.223,50.972,36.223,100,210,208,0.036,0.072,0.179,0
197.0,48.223,35.32,103.223,89.32,48.223,35.32,100,210,208,0.037,0.071,0.179,0
