area_pixels, centroid_x, centroid_y, centroid_x_roi, centroid_y_roi, mean_coords_x, mean_coords_y, lado_px, image_width, image_height, mean_intensity, std_intensity, threshold, class
832.0,82.029,44.173,113.029,72.173,82.029,44.173,100,163,157,0.071,0.128,0.327,2
826.0,81.013,47.128,112.013,75.128,81.027,47.125,100,163,157,0.065,0.113,0.291,2
376.0,80.814,29.628,111.814,57.628,80.934,49.169,100,163,157,0.059,0.105,0.268,2
1.0,60.0,27.0,91.0,55.0,81.347,51.114,100,163,157,0.055,0.097,0.249,2
295.0,82.22,29.18,113.22,57.18,81.844,52.187,100,163,157,0.053,0.093,0.239,2
6.0,28.833,48.667,59.833,76.667,80.255,55.175,100,163,157,0.054,0.095,0.245,2
285.0,82.256,29.4,113.256,57.4,81.457,53.66,100,163,157,0.053,0.095,0.243,2
263.0,82.213,29.43,113.213,57.43,80.589,56.707,100,163,157,0.055,0.097,0.249,2
261.0,82.326,29.46,113.326,57.46,80.45,57.613,100,163,157,0.055,0.095,0.246,2
264.0,82.03,29.519,113.03,57.519,80.581,56.66,100,163,157,0.055,0.095,0.244,2
10.0,67.7,35.7,98.7,63.7,80.364,57.05,100,163,157,0.053,0.094,0.242,2
6.0,29.0,48.5,60.0,76.5,79.365,57.575,100,163,157,0.055,0.096,0.247,2
291.0,76.711,84.203,107.711,112.203,78.861,58.407,100,163,157,0.054,0.094,0.243,2
34.0,66.029,79.294,97.029,107.294,78.677,58.053,100,163,157,0.055,0.095,0.246,2
33.0,65.455,79.273,96.455,107.273,78.536,58.375,100,163,157,0.054,0.094,0.243,2
225.0,73.622,84.747,104.622,112.747,78.023,58.863,100,163,157,0.055,0.096,0.247,2
1.0,29.0,49.0,60.0,77.0,77.568,59.244,100,163,157,0.054,0.094,0.242,2
270.0,74.533,85.052,105.533,113.052,77.513,59.012,100,163,157,0.055,0.094,0.243,2
41.0,65.0,79.244,96.0,107.244,77.43,58.962,100,163,157,0.053,0.093,0.239,2
